Date/Time,ActivePower,WindSpeed,Power,WindDirection,Time,TimeDiff,Gust
21 01 2018 16:00,3482.14502,14.37112045,3600,179.6499023,0,-50,0.328490257
21 01 2018 16:10,3472.108887,13.97877026,3600,179.6826019,10,10,-0.392350197
21 01 2018 16:20,3510.718994,13.14190006,3600,177.4600983,20,10,-0.836870193
21 01 2018 16:30,3541.687012,12.66765976,3589.537905,175.6038971,30,10,-0.474240303
21 01 2018 16:40,3548.75,13.06529999,3600,179.3728943,40,10,0.397640228
21 01 2018 16:50,3561.913086,12.81439018,3595.217881,178.8058929,50,10,-0.250909805
21 01 2018 17:00,3593.97998,12.52762985,3581.139117,176.7583008,0,-50,-0.28676033
21 01 2018 17:10,3377.503906,11.71839046,3471.201554,175.6287994,10,10,-0.809239388
21 01 2018 17:20,3463.089111,11.73499012,3474.588114,175.9835968,20,10,0.016599655
21 01 2018 17:30,3218.569092,11.17162037,3329.729111,178.2604065,30,10,-0.563369751
21 01 2018 17:40,2972.746094,10.75448036,3178.689397,177.9414978,40,10,-0.417140007
21 01 2018 17:50,3198.236084,11.26473999,3358.119096,178.1213074,50,10,0.510259628
21 01 2018 18:00,3467.016113,12.01992989,3525.015151,176.326004,0,-50,0.755189896
21 01 2018 18:10,3323.929932,11.60406971,3446.484696,178.2456055,10,10,-0.415860176
21 01 2018 18:20,3118.577881,11.31307983,3372.133196,178.3757935,20,10,-0.290989876
21 01 2018 18:30,3245.874023,11.46584988,3413.265906,179.2342072,30,10,0.152770042
21 01 2018 18:40,3338.025879,11.54362965,3432.415604,179.1685028,40,10,0.07777977
21 01 2018 18:50,3245.323975,11.40635967,3397.810533,180.1802979,50,10,-0.137269974
21 01 2018 19:00,3332.095947,11.7031002,3468.037137,181.8067017,0,-50,0.296740532
21 01 2018 19:10,3053.539063,11.0546999,3291.414827,179.0998993,10,10,-0.648400307
21 01 2018 19:20,2664.658936,10.32450962,2977.916684,177.2841034,20,10,-0.730190277
21 01 2018 19:30,3088.729004,11.05889034,3292.840427,175.7825012,30,10,0.734380722
21 01 2018 19:40,3069.506104,11.00351048,3273.680029,174.8567963,40,10,-0.055379868
21 01 2018 19:50,3030.691895,10.90847969,3239.162867,175.6791992,50,10,-0.095030785
21 01 2018 20:00,2569.356934,10.02682972,2808.671456,179.6143951,0,-50,-0.881649971
21 01 2018 20:10,2494.403076,9.855160713,2698.706213,181.0021973,10,10,-0.171669006
21 01 2018 20:20,2777.039063,10.54619026,3087.527491,178.5460968,20,10,0.691029549
21 01 2018 20:30,2302.715088,9.629840851,2539.614033,178.8876038,30,10,-0.916349411
